gene,papillary 1,reticular 1, papillary 2, reticular 2, papillary 3, reticular 3
PBOV1,0.00301438321537,0.00447219810614,0.0270108731582,0.00965832033507,0.0,0.0117856812108
PBRM1,0.568764466833,0.726876657891,0.577516997772,0.749617928769,0.583428013716,0.542426516619
PBX1,1.0580541102,1.21638563135,0.843639848743,0.725486816499,1.09719163512,0.970705522911
PBX2,0.0153549220161,0.041563674344,0.0307838431931,0.0120189701693,0.0163260321496,0.00515618578263
PBX3,0.317635982632,0.208264627425,0.29164732906,0.21799881517,0.297484918677,0.347940152462
PBX4,0.0611761201603,0.118685460939,0.360757471013,0.0936056336798,0.0760181965355,0.0677123138241
PBXIP1,1.4375181501,1.558963466,1.44587233528,1.25212508679,1.16615347035,1.24789498778
PC,0.00676325821748,0.020125525316,0.108596536402,0.042412064438,0.101336727064,0.143035414203
PCA3,0.0,0.0375415845581,0.0365747356456,0.00198773580724,0.00510776238731,0.00385414101409
PCAT1,0.0162547064029,0.0356909701229,0.0901391760844,0.0259535986577,0.0133967501051,0.027149239772
PCAT18,0.00375184931234,0.000650825737248,0.021809000913,0.0205272260051,0.244840516182,0.0615667819381
PCAT19,2.04380064121,2.6358822964,0.697767112377,1.09899385875,1.34400065244,0.539016498938
PCAT2,0.0222483452799,0.012648754815,0.0480109716829,0.0402927319288,0.0203798746347,0.00351123582092
PCAT4,0.0,0.0,0.0,0.0,0.0,0.0
PCAT6,0.0893557262246,0.203604150087,0.160457721151,0.136147728588,0.117880313119,0.150901397244
PCAT7,0.0188757730557,0.0352036045361,0.200005618247,0.0366995287959,0.0373503341519,0.0386199592105
PCBD1,0.684675768111,0.959319169782,1.56527723441,1.15571527395,1.59379123913,1.923484623
PCBD2,0.0783596224431,0.162348552786,0.182281893231,0.129564768211,0.184512277803,0.190315861021
PCBP1,1.29537639738,2.4466684622,2.50475503628,1.4881423367,2.309359574,2.45438871232
PCBP1-AS1,0.448532262134,0.704139106912,0.300584322412,0.345019211275,0.439352859982,0.418499376243
PCBP2,4.32169567465,5.05390804381,4.05710865818,3.3884497206,3.96348685634,3.892905177
PCBP2-OT1,0.852261665387,1.04746420239,0.784057207253,0.704521399171,0.7965223995,0.765143344822
PCBP3,0.015346850866,0.0361179515188,0.276043944046,0.0606573234671,0.0436665999273,0.0696395104483
PCBP4,0.0575703348561,0.140474677476,0.122755325325,0.132904214117,0.107220304289,0.089698303477
PCCA,0.204527887109,0.256117986555,0.392360984105,0.234980568732,0.253335893406,0.355485831723
PCCA-AS1,0.0623371749491,0.11475684812,0.0534221918541,0.0410109663124,0.0434459913384,0.0190909410306
PCCB,0.28117261189,0.318718019512,0.780207004542,0.891300118932,0.484768108424,1.03364930508
PCDH1,0.0435011744416,0.217850608314,0.198711695668,0.250578017202,0.269211697887,0.202702253807
PCDH10,0.00985486591064,0.0250330178548,0.00879880747884,0.00663278108208,0.0440911446255,0.0568485799578
PCDH11X,0.0541689129555,0.0404832822677,0.0631723311617,0.0357642110821,0.176451762369,0.0292030376496
PCDH11Y,0.00447034545605,0.0245217264931,0.00794859393175,0.0122274864159,0.0418719382863,0.0111453137023
PCDH12,0.0512147752804,0.0994731580374,0.118592599419,0.0375387815862,0.115230255363,0.0512174734334
PCDH15,0.013675345323,0.0691506381954,0.119399712597,0.101251973215,0.0276251991726,0.0269109597254
PCDH17,0.0676587872192,0.256931517371,0.0887333900132,0.147325659605,0.0818912966842,0.0782078730055
PCDH18,1.07853274973,2.13783611205,0.830765179867,1.07716898684,1.38670338503,1.09840815696
PCDH19,0.155379499402,0.191351418905,0.111468671601,0.0841681851395,0.142973566024,0.0888677066105
PCDH20,0.0865722691539,0.0839066189043,0.117311707154,0.0492232183263,0.0892513579924,0.0652610012153
PCDH7,0.100467549577,0.209376743271,0.120780260097,0.164838180783,0.380337484555,0.169514807076
PCDH8,0.0,0.00175322962406,0.00269200274837,0.00315312489009,0.0200066264184,0.0
PCDH9,0.30524040584,0.808256311727,0.15788736195,0.30767252967,0.59359076538,0.342367255778
PCDH9-AS2,0.0263864034757,0.0399413445405,0.0081610188582,0.0,0.0,0.00387603954258
